name,stars,price,city,countryCode,countryName,address,location,url,latitude,longtitude
41 Berangan,2,45,Kuala Lumpur,MY,Malaysia,41 Jalan Berangan,Kuala Lumpur Malaysia,,3.14775,101.709
Adamson Hotel Kuala Lumpur,3,99999,Kuala Lumpur,MY,Malaysia,79 Lorong Haji Hussein 2 Off Jalan Raja Muda Abdul Aziz,Kuala Lumpur Malaysia,,3.16688,101.702
Alamanda Hotel Petaling Street,2,16,Kuala Lumpur,MY,Malaysia,85 Petaling Street,Kuala Lumpur Malaysia,http://alamandahotels.com/,3.14335,101.698
Alexs Homestay Guesthouse Kuala Lumpur,3,99999,Kuala Lumpur,MY,Malaysia,21 Jalan Tanjung 12 Taman Seputeh,Kuala Lumpur Malaysia,http://www.alexguesthouse.com/,3.1136,101.682
Ali Baba Hotel,2,26,Kuala Lumpur,MY,Malaysia,172 Jalan Pudu,Kuala Lumpur Malaysia,http://www.alibaba.com/showroom/kuala-lumpur.html,3.14334,101.708
Alisons Vacation Home at Tivoli Villas,4,99999,Kuala Lumpur,MY,Malaysia,Medang Tanduk Street Bandaraya Hill Bangsar,Kuala Lumpur Malaysia,http://www.search-villas.com/,3.13911,101.66
Alpha Genesis Hotel,3,50,Kuala Lumpur,MY,Malaysia,45 Tengkat Tong Shin Bukit Bintang,Kuala Lumpur Malaysia,http://alphagenesishotel.com/,3.14626,101.708
Amazing Hotel,1,18,Kuala Lumpur,MY,Malaysia,23-1 Jalan Dwitasik 1 Dataran Dwitasik Bandar Sri Permaisuri,Kuala Lumpur Malaysia,,3.09963,101.712
Ampang Point Star Hotel,2,19,Kuala Lumpur,MY,Malaysia,No 18 & 19 Tkt 1 2 3 Jalan Mamanda 5 Ampang Point,Kuala Lumpur Malaysia,,3.15827,101.75
Ancasa Express @Pudu,2,33,Kuala Lumpur,MY,Malaysia,4th Floor Hentian Puduraya Jalan Pudu,Kuala Lumpur Malaysia,http://www.ancasaexpress.com/pudu/,3.14576,101.701
Ancasa Hotel Kuala Lumpur,4,51,Kuala Lumpur,MY,Malaysia,Jalan Tun Tan Cheng Lock,Kuala Lumpur Malaysia,http://ancasa-hotel.com/,3.14456,101.696
Anggun Boutique Hotel,3,70,Kuala Lumpur,MY,Malaysia,7 & 9 Jalan Tengkat Tong Shin (Off Jalan Bukit Bintang City Centre),Kuala Lumpur Malaysia,http://www.anggunkl.com/,3.14549,101.707
Anjung KL Guesthouse Kuala Lumpur,1,18,Kuala Lumpur,MY,Malaysia,4 Tengkat Tong Shin,Kuala Lumpur Malaysia,http://www.anjungkl.com/,3.15394,101.717
Anum Hotel Boutique,3,44,Kuala Lumpur,MY,Malaysia,No.101 A-C Jalan Putra,Kuala Lumpur Malaysia,http://anumhotel.com/,3.16682,101.696
Apple Hotel,2,33,Kuala Lumpur,MY,Malaysia,78 Jalan Alor,Kuala Lumpur Malaysia,http://www.applehotels.com,3.14616,101.709
Ascott Hotel Kuala Lumpur,5,103,Kuala Lumpur,MY,Malaysia,No 9 Jalan Pinang,Kuala Lumpur Malaysia,http://www.the-ascott.com/malaysia/kuala_lumpur/ascott_kuala_lumpur.html,3.1547,101.711
Attapsana Guesthouse,1,99999,Kuala Lumpur,MY,Malaysia,No. 38 1st floor Jalan Berangan Off Jalan Nagasari Bukit Bintang 50200.,Kuala Lumpur Malaysia,http://www.tiaraguesthouse.com.my/location.html,3.14798,101.709
Aura Hotel,3,27,Kuala Lumpur,MY,Malaysia,75A Jalan Changkat,Kuala Lumpur Malaysia,http://aurabukitbintang.com/contact-us,3.14662,101.709
Babylon Guest House,2,22,Kuala Lumpur,MY,Malaysia,Lot 3 Jalan Rembia Off Jalan Tong Shin Bukit Bintang,Kuala Lumpur Malaysia,http://babylonguesthouse.com/home.html,3.14638,101.708
Bandar Tasik Selatan Homestay,1,78,Kuala Lumpur,MY,Malaysia,24 Jalan 14/146 Bandar Tasik Selatan Bukit Jalil,Kuala Lumpur Malaysia,http://homestaynana.blogspot.com/,3.07327,101.713
Batu Caves Budget Hotel,1,99999,Kuala Lumpur,MY,Malaysia,No 562A Jalan Samudra Utara 1 Taman Samudra Batu Caves,Kuala Lumpur Malaysia,http://batucaveshotel.com/,3.23562,101.697
